fighter_name,bonus_type,event_name,event_date
Sean Strickland,PERF,UFC Fight Night: Strickland vs. Hernandez,
Uros Medic,PERF,UFC Fight Night: Strickland vs. Hernandez,
Melquizael Costa,PERF,UFC Fight Night: Strickland vs. Hernandez,
Jacobe Smith,PERF,UFC Fight Night: Strickland vs. Hernandez,
Mario Bautista,PERF,UFC Fight Night: Bautista vs. Oliveira,
Michal Oleksiejczuk,FIGHT,UFC Fight Night: Bautista vs. Oliveira,
Marc-Andre Barriault,FIGHT,UFC Fight Night: Bautista vs. Oliveira,
Jakub Wiklacz,PERF,UFC Fight Night: Bautista vs. Oliveira,
Alexander Volkanovski,FIGHT,UFC 325: Volkanovski vs. Lopes 2,
Diego Lopes,FIGHT,UFC 325: Volkanovski vs. Lopes 2,
Mauricio Ruffy,PERF,UFC 325: Volkanovski vs. Lopes 2,
Quillan Salkilld,PERF,UFC 325: Volkanovski vs. Lopes 2,
Justin Gaethje,FIGHT,UFC 324: Gaethje vs. Pimblett,
Paddy Pimblett,FIGHT,UFC 324: Gaethje vs. Pimblett,
Josh Hokit,PERF,UFC 324: Gaethje vs. Pimblett,
Ty Miller,PERF,UFC 324: Gaethje vs. Pimblett,
Manel Kape,PERF,UFC Fight Night: Royval vs. Kape,
Kevin Vallejos,PERF,UFC Fight Night: Royval vs. Kape,
Steven Asplund,FIGHT,UFC Fight Night: Royval vs. Kape,
Sean Sharaf,FIGHT,UFC Fight Night: Royval vs. Kape,
Petr Yan,FIGHT,UFC 323: Dvalishvili vs. Yan 2,
Merab Dvalishvili,FIGHT,UFC 323: Dvalishvili vs. Yan 2,
Manuel Torres,PERF,UFC 323: Dvalishvili vs. Yan 2,
Iwo Baraniewski,PERF,UFC 323: Dvalishvili vs. Yan 2,
Arman Tsarukyan,PERF,UFC Fight Night: Tsarukyan vs. Hooker,
Waldo Cortes Acosta,PERF,UFC Fight Night: Tsarukyan vs. Hooker,
Kyoji Horiguchi,PERF,UFC Fight Night: Tsarukyan vs. Hooker,
Luke Riley,PERF,UFC Fight Night: Tsarukyan vs. Hooker,
Michael Morales,PERF,UFC 322: Della Maddalena vs. Makhachev,
Carlos Prates,PERF,UFC 322: Della Maddalena vs. Makhachev,
Benoit Saint Denis,PERF,UFC 322: Della Maddalena vs. Makhachev,
Bo Nickal,PERF,UFC 322: Della Maddalena vs. Makhachev,
Gabriel Bonfim,PERF,UFC Fight Night: Bonfim vs. Brown,
Christian Leroy Duncan,PERF,UFC Fight Night: Bonfim vs. Brown,
Josh Hokit,PERF,UFC Fight Night: Bonfim vs. Brown,
Zach Reese,PERF,UFC Fight Night: Bonfim vs. Brown,
Steve Garcia,PERF,UFC Fight Night: Garcia vs. Onama,
Waldo Cortes Acosta,PERF,UFC Fight Night: Garcia vs. Onama,
Allan Nascimento,PERF,UFC Fight Night: Garcia vs. Onama,
Donte Johnson,PERF,UFC Fight Night: Garcia vs. Onama,
Quillan Salkilld,PERF,UFC 321: Aspinall vs. Gane,
Ludovit Klein,FIGHT,UFC 321: Aspinall vs. Gane,
Mateusz Rebecki,FIGHT,UFC 321: Aspinall vs. Gane,
Valter Walker,PERF,UFC 321: Aspinall vs. Gane,
Charles Jourdain,PERF,UFC Fight Night: De Ridder vs. Allen,
Drew Dober,FIGHT,UFC Fight Night: De Ridder vs. Allen,
Kyle Prepolec,FIGHT,UFC Fight Night: De Ridder vs. Allen,
Aoriqileng,PERF,UFC Fight Night: De Ridder vs. Allen,
